id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
224517,Brass: Birmingham,1,8.6091,8.42303,40890,56680,3.894,2,4,60,120,https://boardgamegeek.com/boardgame/224517
161936,Pandemic Legacy: Season 1,2,8.53462,8.3882,51491,79734,2.8326,2,4,60,60,https://boardgamegeek.com/boardgame/161936
174430,Gloomhaven,3,8.61131,8.37748,59697,93278,3.8971,1,4,60,120,https://boardgamegeek.com/boardgame/174430
342942,Ark Nova,4,8.52939,8.31404,35009,51363,3.7279,1,4,90,150,https://boardgamegeek.com/boardgame/342942
233078,Twilight Imperium: Fourth Edition,5,8.61297,8.24236,21735,26671,4.3077,3,6,240,480,https://boardgamegeek.com/boardgame/233078
167791,Terraforming Mars,6,8.36993,8.22476,92712,128330,3.2603,1,5,120,120,https://boardgamegeek.com/boardgame/167791
316554,Dune: Imperium,7,8.41833,8.2004,37970,53542,3.0279,1,4,60,120,https://boardgamegeek.com/boardgame/316554
291457,Gloomhaven: Jaws of the Lion,8,8.48158,8.19595,30748,67753,3.6329,1,4,30,120,https://boardgamegeek.com/boardgame/291457
115746,War of the Ring: Second Edition,9,8.53369,8.17825,19773,32593,4.2042,2,4,150,180,https://boardgamegeek.com/boardgame/115746
187645,Star Wars: Rebellion,10,8.41782,8.16895,30706,47775,3.7413,2,4,180,240,https://boardgamegeek.com/boardgame/187645
162886,Spirit Island,11,8.35257,8.15105,46482,69231,4.0629,1,4,90,120,https://boardgamegeek.com/boardgame/162886
220308,Gaia Project,12,8.39853,8.13287,25412,31359,4.3956,1,4,60,150,https://boardgamegeek.com/boardgame/220308
182028,Through the Ages: A New Story of Civilization,13,8.30784,8.07922,30262,34969,4.4326,2,4,120,120,https://boardgamegeek.com/boardgame/182028
12333,Twilight Struggle,14,8.25201,8.07748,47336,66034,3.6043,2,2,120,180,https://boardgamegeek.com/boardgame/12333
193738,Great Western Trail,15,8.21862,8.05454,39245,44055,3.706,2,4,75,150,https://boardgamegeek.com/boardgame/193738
169786,Scythe,16,8.1621,8.00947,78786,107032,3.4406,1,5,90,115,https://boardgamegeek.com/boardgame/169786
84876,The Castles of Burgundy,17,8.13122,8.00693,59120,74980,2.9873,2,4,30,90,https://boardgamegeek.com/boardgame/84876
173346,7 Wonders Duel,18,8.09746,7.97375,87879,143927,2.2266,2,2,30,30,https://boardgamegeek.com/boardgame/173346
246900,Eclipse: Second Dawn for the Galaxy,19,8.48993,7.96679,11642,16121,3.6509,2,6,60,200,https://boardgamegeek.com/boardgame/246900
28720,Brass: Lancashire,20,8.19014,7.9642,23943,31146,3.8581,2,4,60,120,https://boardgamegeek.com/boardgame/28720
167355,Nemesis,21,8.28584,7.96077,27669,38227,3.443,1,5,90,180,https://boardgamegeek.com/boardgame/167355
124361,Concordia,22,8.09946,7.94978,38363,43975,2.9967,2,5,100,100,https://boardgamegeek.com/boardgame/124361
177736,A Feast for Odin,23,8.1787,7.94835,26415,34017,3.862,1,4,30,120,https://boardgamegeek.com/boardgame/177736
266507,Clank! Legacy: Acquisitions Incorporated,24,8.56101,7.94494,8496,15422,2.7165,2,4,90,120,https://boardgamegeek.com/boardgame/266507
266192,Wingspan,25,8.067,7.9195,83736,129134,2.4577,1,5,40,70,https://boardgamegeek.com/boardgame/266192
120677,Terra Mystica,26,8.07777,7.91434,46538,50597,3.9726,2,5,60,150,https://boardgamegeek.com/boardgame/120677
205637,Arkham Horror: The Card Game,27,8.13689,7.90808,40875,71931,3.5276,1,2,60,120,https://boardgamegeek.com/boardgame/205637
312484,Lost Ruins of Arnak,28,8.07794,7.88992,38063,56960,2.9039,1,4,30,120,https://boardgamegeek.com/boardgame/312484
237182,Root,29,8.07743,7.88667,46106,70669,3.7826,2,4,60,90,https://boardgamegeek.com/boardgame/237182
164928,Orléans,30,8.0619,7.87544,29754,36765,3.028,2,4,90,90,https://boardgamegeek.com/boardgame/164928
341169,Great Western Trail: Second Edition,31,8.39134,7.87224,9811,15476,3.7305,1,4,75,150,https://boardgamegeek.com/boardgame/341169
199792,Everdell,32,8.04471,7.86223,48308,72232,2.8073,1,4,40,80,https://boardgamegeek.com/boardgame/199792
96848,Mage Knight Board Game,33,8.08633,7.85978,32411,44477,4.3537,1,4,60,240,https://boardgamegeek.com/boardgame/96848
183394,Viticulture Essential Edition,34,8.00254,7.85205,45599,63535,2.8906,1,6,45,90,https://boardgamegeek.com/boardgame/183394
251247,Barrage,35,8.17947,7.84728,15798,19573,4.101,1,4,60,120,https://boardgamegeek.com/boardgame/251247
324856,The Crew: Mission Deep Sea,36,8.20139,7.84259,13910,28664,2.0361,2,5,20,20,https://boardgamegeek.com/boardgame/324856
192135,Too Many Bones,37,8.34238,7.82185,11452,17053,3.8491,1,4,60,120,https://boardgamegeek.com/boardgame/192135
175914,Food Chain Magnate,38,8.07832,7.81621,19148,23580,4.2082,2,5,120,240,https://boardgamegeek.com/boardgame/175914
256960,Pax Pamir: Second Edition,39,8.23359,7.80303,12139,18643,3.8413,1,5,45,120,https://boardgamegeek.com/boardgame/256960
285774,Marvel Champions: The Card Game,40,8.13115,7.79824,21638,36643,2.9168,1,4,45,90,https://boardgamegeek.com/boardgame/285774
3076,Puerto Rico,41,7.92742,7.79063,69656,80168,3.2716,3,5,90,150,https://boardgamegeek.com/boardgame/3076
247763,Underwater Cities,42,8.07449,7.78879,17895,23620,3.6084,1,4,80,150,https://boardgamegeek.com/boardgame/247763
102794,Caverna: The Cave Farmers,43,7.95743,7.77718,33637,42886,3.7802,1,7,30,210,https://boardgamegeek.com/boardgame/102794
170216,Blood Rage,44,7.94249,7.77097,44882,53392,2.8741,2,4,60,90,https://boardgamegeek.com/boardgame/170216
295947,Cascadia,45,7.96856,7.76517,29977,49050,1.8382,1,4,30,45,https://boardgamegeek.com/boardgame/295947
185343,Anachrony,46,8.08594,7.76325,17355,22000,4.0203,1,4,30,120,https://boardgamegeek.com/boardgame/185343
31260,Agricola,47,7.88538,7.76184,71124,83733,3.6371,1,5,30,150,https://boardgamegeek.com/boardgame/31260
184267,On Mars,48,8.2122,7.76087,11536,18699,4.6726,1,4,90,150,https://boardgamegeek.com/boardgame/184267
521,Crokinole,49,8.01365,7.7451,16778,15521,1.2348,2,4,30,30,https://boardgamegeek.com/boardgame/521
314040,Pandemic Legacy: Season 0,50,8.43207,7.74044,6768,15317,3.1353,2,4,45,60,https://boardgamegeek.com/boardgame/314040
295770,Frosthaven,51,8.8675,7.73781,5277,13547,4.3226,1,4,30,120,https://boardgamegeek.com/boardgame/295770
221107,Pandemic Legacy: Season 2,52,8.04598,7.73463,16176,30976,3.2466,2,4,60,60,https://boardgamegeek.com/boardgame/221107
255984,Sleeping Gods,53,8.28325,7.73413,9619,23604,3.2258,1,4,60,1200,https://boardgamegeek.com/boardgame/255984
284378,Kanban EV,54,8.44373,7.73041,6570,11730,4.3189,1,4,60,180,https://boardgamegeek.com/boardgame/284378
205059,Mansions of Madness: Second Edition,55,7.96345,7.72909,34460,54602,2.6705,1,5,120,180,https://boardgamegeek.com/boardgame/205059
276025,Maracaibo,56,8.05784,7.72404,14859,21204,3.9092,1,4,30,120,https://boardgamegeek.com/boardgame/276025
161533,Lisboa,57,8.19655,7.72068,10317,15670,4.5944,1,4,60,120,https://boardgamegeek.com/boardgame/161533
126163,Tzolk'in: The Mayan Calendar,58,7.86758,7.71364,37835,44464,3.6712,2,4,90,90,https://boardgamegeek.com/boardgame/126163
2651,Power Grid,59,7.81929,7.7106,63703,77634,3.2568,2,6,120,120,https://boardgamegeek.com/boardgame/2651
366013,Heat: Pedal to the Metal,60,8.12446,7.70938,12507,17992,2.1698,1,6,30,60,https://boardgamegeek.com/boardgame/366013
244521,The Quacks of Quedlinburg,61,7.83443,7.69231,44641,68297,1.9449,2,4,45,45,https://boardgamegeek.com/boardgame/244521
216132,Clans of Caledonia,62,7.94913,7.6915,19592,21327,3.4578,1,4,30,120,https://boardgamegeek.com/boardgame/216132
284083,The Crew: The Quest for Planet Nine,63,7.83567,7.68744,38236,73354,1.9609,2,5,20,20,https://boardgamegeek.com/boardgame/284083
35677,Le Havre,64,7.85035,7.6866,30710,35542,3.7256,1,5,30,150,https://boardgamegeek.com/boardgame/35677
266810,Paladins of the West Kingdom,65,7.99524,7.68601,16330,26854,3.711,1,4,90,120,https://boardgamegeek.com/boardgame/266810
164153,Star Wars: Imperial Assault,66,7.96975,7.68321,24019,41177,3.3017,1,5,60,120,https://boardgamegeek.com/boardgame/164153
125153,The Gallerist,67,8.03142,7.68214,13761,18858,4.2597,1,4,60,150,https://boardgamegeek.com/boardgame/125153
209010,Mechs vs. Minions,68,7.98072,7.67442,16984,23690,2.4304,2,4,60,120,https://boardgamegeek.com/boardgame/209010
182874,Grand Austria Hotel,69,7.92764,7.66784,19256,23985,3.2197,2,4,60,120,https://boardgamegeek.com/boardgame/182874
55690,Kingdom Death: Monster,70,8.50487,7.66195,9309,12379,4.2662,1,4,60,180,https://boardgamegeek.com/boardgame/55690
124742,Android: Netrunner,71,7.87796,7.65924,29576,45094,3.4015,2,2,45,45,https://boardgamegeek.com/boardgame/124742
253344,Cthulhu: Death May Die,72,8.1711,7.65848,10518,18521,2.4448,1,5,90,120,https://boardgamegeek.com/boardgame/253344
230802,Azul,73,7.75911,7.64912,82954,130701,1.7598,2,4,30,45,https://boardgamegeek.com/boardgame/230802
200680,Agricola (Revised Edition),74,7.96148,7.63477,16336,22469,3.465,1,4,30,120,https://boardgamegeek.com/boardgame/200680
28143,Race for the Galaxy,75,7.74662,7.6344,53924,66727,2.9908,2,4,30,60,https://boardgamegeek.com/boardgame/28143
191189,Aeon's End,76,7.92649,7.63187,19031,27602,2.8018,1,4,60,60,https://boardgamegeek.com/boardgame/191189
72125,Eclipse: New Dawn for the Galaxy,77,7.83979,7.63139,28065,27709,3.7034,2,6,60,180,https://boardgamegeek.com/boardgame/72125
157354,Five Tribes,78,7.77675,7.62885,40034,52458,2.8502,2,4,40,80,https://boardgamegeek.com/boardgame/157354
201808,Clank!: A Deck-Building Adventure,79,7.7872,7.62763,39994,52496,2.2247,2,4,30,60,https://boardgamegeek.com/boardgame/201808
25613,Through the Ages: A Story of Civilization,80,7.8549,7.61102,19130,18024,4.1745,2,4,120,120,https://boardgamegeek.com/boardgame/25613
159675,Fields of Arle,81,8.03518,7.61023,10447,15464,3.8574,1,2,60,120,https://boardgamegeek.com/boardgame/159675
229853,Teotihuacan: City of Gods,82,7.87592,7.60927,18934,25291,3.7803,1,4,90,120,https://boardgamegeek.com/boardgame/229853
317985,Beyond the Sun,83,7.95564,7.59932,12555,15061,3.1283,2,4,60,120,https://boardgamegeek.com/boardgame/317985
110327,Lords of Waterdeep,84,7.73473,7.5973,53879,67200,2.4527,2,5,60,120,https://boardgamegeek.com/boardgame/110327
231733,Obsession,85,8.14804,7.59676,8638,12124,3.1107,1,4,30,90,https://boardgamegeek.com/boardgame/231733
171623,The Voyages of Marco Polo,86,7.79517,7.59138,24206,26161,3.1863,2,4,40,100,https://boardgamegeek.com/boardgame/171623
121921,Robinson Crusoe: Adventures on the Cursed Island,87,7.76092,7.59068,41943,66243,3.8091,1,4,60,120,https://boardgamegeek.com/boardgame/121921
62219,Dominant Species,88,7.8217,7.5905,20601,22676,4.0402,2,6,120,240,https://boardgamegeek.com/boardgame/62219
68448,7 Wonders,89,7.6924,7.58554,100808,136301,2.3197,2,7,30,30,https://boardgamegeek.com/boardgame/68448
279537,The Search for Planet X,90,7.99154,7.56684,10281,18665,2.3693,1,4,60,75,https://boardgamegeek.com/boardgame/279537
264220,Tainted Grail: The Fall of Avalon,91,8.12379,7.56609,11481,22734,3.3378,1,4,60,120,https://boardgamegeek.com/boardgame/264220
180263,The 7th Continent,92,7.85938,7.55508,21610,36932,2.902,1,4,5,1000,https://boardgamegeek.com/boardgame/180263
93,El Grande,93,7.73269,7.5548,26967,25345,3.0359,2,5,60,120,https://boardgamegeek.com/boardgame/93
236457,Architects of the West Kingdom,94,7.74993,7.55312,27195,37207,2.7484,1,5,60,80,https://boardgamegeek.com/boardgame/236457
37111,Battlestar Galactica: The Board Game,95,7.73028,7.54474,35964,38630,3.2484,3,6,120,180,https://boardgamegeek.com/boardgame/37111
122515,Keyflower,96,7.7347,7.5376,22431,25731,3.3431,2,6,90,120,https://boardgamegeek.com/boardgame/122515
225694,Decrypto,97,7.77367,7.53713,20400,32559,1.8118,3,8,15,45,https://boardgamegeek.com/boardgame/225694
155821,Inis,98,7.82337,7.53434,18743,24598,2.8898,2,4,60,90,https://boardgamegeek.com/boardgame/155821
18602,Caylus,99,7.72368,7.53213,28824,28528,3.7987,2,5,60,150,https://boardgamegeek.com/boardgame/18602
170042,Raiders of the North Sea,100,7.74646,7.53106,22798,29382,2.5526,2,4,60,80,https://boardgamegeek.com/boardgame/170042
172386,Mombasa,101,7.8573,7.52571,12989,14632,3.8995,2,4,75,150,https://boardgamegeek.com/boardgame/172386
40834,Dominion: Intrigue,102,7.69336,7.52548,33194,48201,2.4148,2,6,30,30,https://boardgamegeek.com/boardgame/40834
163068,Trickerion: Legends of Illusion,103,7.96785,7.52328,10046,14747,4.2493,2,4,60,180,https://boardgamegeek.com/boardgame/163068
42,Tigris & Euphrates,104,7.70361,7.52297,28143,30862,3.5015,2,4,90,90,https://boardgamegeek.com/boardgame/42
73439,Troyes,105,7.71984,7.52172,22739,26067,3.4594,1,4,90,90,https://boardgamegeek.com/boardgame/73439
146021,Eldritch Horror,106,7.75746,7.5207,35273,52858,3.3183,1,8,120,240,https://boardgamegeek.com/boardgame/146021
203993,Lorenzo il Magnifico,107,7.85303,7.52045,13206,16042,3.2892,2,4,60,120,https://boardgamegeek.com/boardgame/203993
269385,The Lord of the Rings: Journeys in Middle-Earth,108,7.93062,7.51814,15334,26953,2.6468,1,5,60,120,https://boardgamegeek.com/boardgame/269385
12493,Twilight Imperium: Third Edition,109,7.79787,7.50958,19170,20711,4.2562,3,6,180,240,https://boardgamegeek.com/boardgame/12493
144733,Russian Railroads,110,7.7386,7.49863,17516,16006,3.4036,2,4,120,120,https://boardgamegeek.com/boardgame/144733
256916,Concordia Venus,111,8.28484,7.49818,5069,9058,3.0201,2,6,60,120,https://boardgamegeek.com/boardgame/256916
163412,Patchwork,112,7.60361,7.49763,62328,97125,1.6047,2,2,15,30,https://boardgamegeek.com/boardgame/163412
102680,Trajan,113,7.75092,7.49243,17206,20220,3.6452,2,4,60,120,https://boardgamegeek.com/boardgame/102680
205896,Rising Sun,114,7.78365,7.48673,20348,25950,3.2979,3,5,90,120,https://boardgamegeek.com/boardgame/205896
218417,Aeon's End: War Eternal,115,8.28907,7.48455,5371,11978,2.9191,1,4,60,60,https://boardgamegeek.com/boardgame/218417
36218,Dominion,116,7.59876,7.48254,88498,117134,2.3495,2,4,30,30,https://boardgamegeek.com/boardgame/36218
310873,Carnegie,117,8.04313,7.47828,7447,10378,3.8228,1,4,90,120,https://boardgamegeek.com/boardgame/310873
281259,The Isle of Cats,118,7.73665,7.4715,19618,33988,2.3547,1,4,60,90,https://boardgamegeek.com/boardgame/281259
4098,Age of Steam,119,7.83622,7.47083,10786,12076,3.8828,1,6,120,120,https://boardgamegeek.com/boardgame/4098
175640,Vinhos: Deluxe Edition,120,8.10813,7.47032,6404,11381,4.0202,1,4,60,135,https://boardgamegeek.com/boardgame/175640
233371,Clank! In! Space!: A Deck-Building Adventure,121,7.79807,7.46995,13604,19949,2.5565,2,4,45,90,https://boardgamegeek.com/boardgame/233371
43015,Hansa Teutonica,122,7.72925,7.46367,14871,12990,3.0966,2,5,45,90,https://boardgamegeek.com/boardgame/43015
198928,Pandemic: Iberia,123,7.89369,7.46349,10283,18497,2.5667,2,5,45,45,https://boardgamegeek.com/boardgame/198928
217372,The Quest for El Dorado,124,7.66377,7.46344,22692,35950,1.9276,2,4,30,60,https://boardgamegeek.com/boardgame/217372
178900,Codenames,125,7.55314,7.46157,87150,144055,1.2658,2,8,15,15,https://boardgamegeek.com/boardgame/178900
196340,Yokohama,126,7.81541,7.45859,11293,14112,3.3116,2,4,90,90,https://boardgamegeek.com/boardgame/196340
175155,Forbidden Stars,127,7.9768,7.45818,8952,13221,3.836,2,4,120,180,https://boardgamegeek.com/boardgame/175155
