id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
174430,Gloomhaven,1,8.79298,8.55082,41989,68226,3.8592,1,4,60,120,https://boardgamegeek.com/boardgame/174430
161936,Pandemic Legacy: Season 1,2,8.61255,8.46252,41600,65219,2.8402,2,4,60,60,https://boardgamegeek.com/boardgame/161936
224517,Brass: Birmingham,3,8.66347,8.37297,19144,28680,3.9131,2,4,60,120,https://boardgamegeek.com/boardgame/224517
167791,Terraforming Mars,4,8.43262,8.28331,64761,86961,3.2409,1,5,120,120,https://boardgamegeek.com/boardgame/167791
233078,Twilight Imperium: Fourth Edition,5,8.69693,8.24788,13439,16800,4.2249,3,6,240,480,https://boardgamegeek.com/boardgame/233078
291457,Gloomhaven: Jaws of the Lion,6,8.87802,8.19004,8266,21429,3.5429,1,4,30,120,https://boardgamegeek.com/boardgame/291457
182028,Through the Ages: A New Story of Civilization,7,8.42495,8.18575,23036,26954,4.4101,2,4,120,120,https://boardgamegeek.com/boardgame/182028
220308,Gaia Project,8,8.48757,8.16905,16332,20275,4.3444,1,4,60,150,https://boardgamegeek.com/boardgame/220308
187645,Star Wars: Rebellion,9,8.42236,8.16573,23050,34824,3.7083,2,4,180,240,https://boardgamegeek.com/boardgame/187645
12333,Twilight Struggle,10,8.29228,8.13264,40780,56185,3.5857,2,2,120,180,https://boardgamegeek.com/boardgame/12333
193738,Great Western Trail,11,8.29874,8.12177,29414,35774,3.7075,2,4,75,150,https://boardgamegeek.com/boardgame/193738
115746,War of the Ring: Second Edition,12,8.48748,8.10131,13695,22249,4.1434,2,4,150,180,https://boardgamegeek.com/boardgame/115746
162886,Spirit Island,13,8.34588,8.09748,25646,38155,4.01,1,4,90,120,https://boardgamegeek.com/boardgame/162886
169786,Scythe,14,8.23897,8.08125,57791,75525,3.4127,1,5,90,115,https://boardgamegeek.com/boardgame/169786
84876,The Castles of Burgundy,15,8.13053,8.01031,46454,62997,3.0029,2,4,30,90,https://boardgamegeek.com/boardgame/84876
120677,Terra Mystica,16,8.14466,7.98911,39254,42702,3.9639,2,5,60,150,https://boardgamegeek.com/boardgame/120677
173346,7 Wonders Duel,17,8.10669,7.97811,60188,94185,2.2254,2,2,30,30,https://boardgamegeek.com/boardgame/173346
124361,Concordia,18,8.12233,7.96325,28064,31980,3.0252,2,5,100,100,https://boardgamegeek.com/boardgame/124361
28720,Brass: Lancashire,19,8.17406,7.96158,19382,25405,3.8635,2,4,60,120,https://boardgamegeek.com/boardgame/28720
266192,Wingspan,20,8.11444,7.93994,43029,61562,2.4199,1,5,40,70,https://boardgamegeek.com/boardgame/266192
177736,A Feast for Odin,21,8.19648,7.93257,17351,22749,3.8384,1,4,30,120,https://boardgamegeek.com/boardgame/177736
205637,Arkham Horror: The Card Game,22,8.17453,7.92651,28516,50803,3.4368,1,2,60,120,https://boardgamegeek.com/boardgame/205637
183394,Viticulture Essential Edition,23,8.08405,7.90945,29433,39672,2.9052,1,6,45,90,https://boardgamegeek.com/boardgame/183394
167355,Nemesis,24,8.40459,7.89272,12244,17519,3.3473,1,5,90,180,https://boardgamegeek.com/boardgame/167355
164928,Orléans,25,8.08526,7.89156,22204,27039,3.0477,2,4,90,90,https://boardgamegeek.com/boardgame/164928
96848,Mage Knight Board Game,26,8.09868,7.88186,27829,39393,4.3118,1,4,60,240,https://boardgamegeek.com/boardgame/96848
237182,Root,27,8.10354,7.86662,24324,37584,3.6733,2,4,60,90,https://boardgamegeek.com/boardgame/237182
3076,Puerto Rico,28,7.98922,7.86389,63107,73387,3.2797,3,5,90,150,https://boardgamegeek.com/boardgame/3076
